Trade number,Type,Date and time,Signal,Price,Size (qty),Size (value),Net PnL NONE,Net PnL %,Favorable excursion NONE,Favorable excursion %,Adverse excursion NONE,Adverse excursion %,Cumulative PnL NONE,Cumulative PnL %
22,Exit long,3/15/2011 10:15,Bear flip exit,10647.35,22,235313.1,-1212.27,-0.52,9566.51,4.06,-2375.09,-1.01,142500.7,142.5
22,Entry long,3/1/2011 11:15,Long,10696.05,22,235313.1,-1212.27,-0.52,9566.51,4.06,-2375.09,-1.01,142500.7,142.5
23,Exit long,3/18/2011 15:15,Bear flip exit,10708.1,22,241855.9,-6420.93,-2.65,474.14,0.2,-6361.26,-2.63,136079.77,136.08
23,Entry long,3/16/2011 14:15,Long,10993.45,22,241855.9,-6420.93,-2.65,474.14,0.2,-6361.26,-2.63,136079.77,136.08
24,Exit long,4/1/2011 10:15,Bear flip exit,11567.1,21,230168.4,12598.78,5.47,19628.95,8.53,-364.1,-0.16,148678.55,148.68
24,Entry long,3/23/2011 15:15,Long,10960.4,21,230168.4,12598.78,5.47,19628.95,8.53,-364.1,-0.16,148678.55,148.68
25,Exit long,4/18/2011 13:15,Bear flip exit,11594,21,247898.7,-4572.11,-1.84,2991.63,1.21,-4766.82,-1.92,144106.44,144.11
25,Entry long,4/13/2011 14:15,Long,11804.7,21,247898.7,-4572.11,-1.84,2991.63,1.21,-4766.82,-1.92,144106.44,144.11
26,Exit long,4/26/2011 12:15,Bear flip exit,11730.3,20,238054,-3589.8,-1.51,1435.58,0.6,-3851.42,-1.62,140516.62,140.52
26,Entry long,4/21/2011 11:15,Long,11902.7,20,238054,-3589.8,-1.51,1435.58,0.6,-3851.42,-1.62,140516.62,140.52
27,Exit long,11/3/2011 11:15,Bear flip exit,9681.5,24,237890.4,-5675.47,-2.39,3959.43,1.66,-5744.97,-2.41,134841.16,134.84
27,Entry long,10/28/2011 15:15,Long,9912.1,24,237890.4,-5675.47,-2.39,3959.43,1.66,-5744.97,-2.41,134841.16,134.84
28,Exit long,11/9/2011 15:15,Bear flip exit,9598.45,23,227767.85,-7138.06,-3.13,188.12,0.08,-7838.88,-3.44,127703.1,127.7
28,Entry long,11/4/2011 11:15,Long,9902.95,23,227767.85,-7138.06,-3.13,188.12,0.08,-7838.88,-3.44,127703.1,127.7
29,Exit long,1/30/2012 15:15,Bear flip exit,9522,27,221282.55,35667.94,16.11,47148.52,21.3,-366.08,-0.17,163371.03,163.37
