Trade number,Type,Date and time,Signal,Price,Size (qty),Size (value),Net PnL NONE,Net PnL %,Favorable excursion NONE,Favorable excursion %,Adverse excursion NONE,Adverse excursion %,Cumulative PnL NONE,Cumulative PnL %
92,Exit long,2/9/2017 11:15,Bear flip exit,20053.3,24,459639.6,21357.32,4.65,31321.31,6.81,-351.49,-0.08,383705.4,383.71
92,Entry long,1/25/2017 10:15,Long,19151.65,24,459639.6,21357.32,4.65,31321.31,6.81,-351.49,-0.08,383705.4,383.71
93,Exit long,2/27/2017 15:15,Bear flip exit,20624.6,23,475077.65,-996.68,-0.21,8053.53,1.69,-4878.22,-1.03,382708.72,382.71
93,Entry long,2/17/2017 10:15,Long,20655.55,23,475077.65,-996.68,-0.21,8053.53,1.69,-4878.22,-1.03,382708.72,382.71
94,Exit long,3/2/2017 15:15,Bear flip exit,20551.8,23,479402.8,-6997.03,-1.46,908.43,0.19,-7506.12,-1.57,375711.7,375.71
94,Entry long,3/2/2017 10:15,Long,20843.6,23,479402.8,-6997.03,-1.46,908.43,0.19,-7506.12,-1.57,375711.7,375.71
95,Exit long,3/21/2017 12:15,Bear flip exit,21016.25,22,456684.8,5396.99,1.18,12571.3,2.75,-2548.21,-0.56,381108.7,381.11
95,Entry long,3/10/2017 10:15,Long,20758.4,22,456684.8,5396.99,1.18,12571.3,2.75,-2548.21,-0.56,381108.7,381.11
96,Exit long,4/7/2017 15:15,Bear flip exit,21407.75,22,464307.8,6382.12,1.37,12937.51,2.79,-2896.99,-0.62,387490.78,387.49
96,Entry long,3/24/2017 10:15,Long,21104.9,22,464307.8,6382.12,1.37,12937.51,2.79,-2896.99,-0.62,387490.78,387.49
97,Exit long,4/19/2017 12:15,Bear flip exit,21562.95,22,478692.5,-4593.52,-0.96,3997.89,0.83,-6229.91,-1.3,382897.28,382.9
97,Entry long,4/12/2017 13:15,Long,21758.75,22,478692.5,-4593.52,-0.96,3997.89,0.83,-6229.91,-1.3,382897.28,382.9
98,Exit long,5/12/2017 12:15,Bear flip exit,22674.5,22,480581.2,17963.97,3.74,24787.33,5.16,-1004.37,-0.21,400861.25,400.86
98,Entry long,4/24/2017 13:15,Long,21844.6,22,480581.2,17963.97,3.74,24787.33,5.16,-1004.37,-0.21,400861.25,400.86
99,Exit long,6/14/2017 9:15,Bear flip exit,23562.8,21,483706.65,10818.59,2.24,14029.89,2.9,-257.46,-0.05,411679.84,411.68
99,Entry long,5/25/2017 14:15,Long,23033.65,21,483706.65,10818.59,2.24,14029.89,2.9,-257.46,-0.05,411679.84,411.68
100,Exit long,6/23/2017 12:15,Bear flip exit,23582.1,21,497722.05,-2795.83,-0.56,3983.48,0.8,-3711.97,-0.75,408884,408.88
100,Entry long,6/19/2017 14:15,Long,23701.05,21,497722.05,-2795.83,-0.56,3983.48,0.8,-3711.97,-0.75,408884,408.88
101,Exit long,8/3/2017 10:15,Bear flip exit,24800.3,21,493353,27149.05,5.5,35673.79,7.23,-4413.11,-0.89,436033.06,436.03
101,Entry long,7/6/2017 11:15,Long,23493,21,493353,27149.05,5.5,35673.79,7.23,-4413.11,-0.89,436033.06,436.03
102,Exit long,9/4/2017 12:15,Bear flip exit,24204.15,21,512849.4,-4868.59,-0.95,1378.1,0.27,-5158.15,-1.01,431164.47,431.16
102,Entry long,9/1/2017 10:15,Long,24421.4,21,512849.4,-4868.59,-0.95,1378.1,0.27,-5158.15,-1.01,431164.47,431.16
103,Exit long,9/21/2017 10:15,Bear flip exit,24775.9,21,515136.3,4846.97,0.94,11921.51,2.31,-253.24,-0.05,436011.44,436.01
103,Entry long,9/11/2017 11:15,Long,24530.3,21,515136.3,4846.97,0.94,11921.51,2.31,-253.24,-0.05,436011.44,436.01
104,Exit long,10/18/2017 10:15,Bear flip exit,24344.7,21,514970.4,-4039.56,-0.78,7326.76,1.42,-4839.59,-0.94,431971.88,431.97
104,Entry long,10/13/2017 10:15,Long,24522.4,21,514970.4,-4039.56,-0.78,7326.76,1.42,-4839.59,-0.94,431971.88,431.97
105,Exit long,11/7/2017 15:15,Bear flip exit,25292.1,21,517959.75,12859.62,2.48,21495.61,4.15,-1357.64,-0.26,444831.5,444.83
105,Entry long,10/25/2017 10:15,Long,24664.75,21,517959.75,12859.62,2.48,21495.61,4.15,-1357.64,-0.26,444831.5,444.83
106,Exit long,11/30/2017 10:15,Bear flip exit,25588.7,21,542841.6,-5802.96,-1.07,2019.05,0.37,-5949.4,-1.1,439028.53,439.03
106,Entry long,11/17/2017 10:15,Long,25849.6,21,542841.6,-5802.96,-1.07,2019.05,0.37,-5949.4,-1.1,439028.53,439.03
107,Exit long,12/28/2017 9:15,Bear flip exit,25470.05,21,535149.3,-599.26,-0.11,6071.21,1.13,-18349.69,-3.43,438429.28,438.43
107,Entry long,12/15/2017 10:15,Long,25483.3,21,535149.3,-599.26,-0.11,6071.21,1.13,-18349.69,-3.43,438429.28,438.43
108,Exit long,4/20/2018 10:15,Bear flip exit,24958,21,519482.25,4322.67,0.83,14065.36,2.71,-2483.69,-0.48,442751.94,442.75
108,Entry long,4/5/2018 15:15,Long,24737.25,21,519482.25,4322.67,0.83,14065.36,2.71,-2483.69,-0.48,442751.94,442.75
109,Exit long,5/16/2018 10:15,Bear flip exit,26180.2,21,532402.5,17057.04,3.2,33850.83,6.36,-2015.07,-0.38,459809,459.81
109,Entry long,4/27/2018 10:15,Long,25352.5,21,532402.5,17057.04,3.2,33850.83,6.36,-2015.07,-0.38,459809,459.81
110,Exit long,5/29/2018 15:15,Bear flip exit,26269.2,21,548777.25,2545.82,0.46,12044.77,2.19,-469.13,-0.09,462354.8,462.35
110,Entry long,5/25/2018 10:15,Long,26132.25,21,548777.25,2545.82,0.46,12044.77,2.19,-469.13,-0.09,462354.8,462.35
111,Exit long,6/19/2018 10:15,Bear flip exit,26346.8,20,538086,-11469.51,-2.13,3133.57,0.58,-16856.43,-3.13,450885.3,450.89
111,Entry long,5/31/2018 15:15,Long,26904.3,20,538086,-11469.51,-2.13,3133.57,0.58,-16856.43,-3.13,450885.3,450.89
112,Exit long,7/16/2018 14:15,Bear flip exit,26716.8,20,530983,3033.4,0.57,12153.71,2.29,-2942.29,-0.55,453918.72,453.92
112,Entry long,7/5/2018 10:15,Long,26549.15,20,530983,3033.4,0.57,12153.71,2.29,-2942.29,-0.55,453918.72,453.92
113,Exit long,7/19/2018 15:15,Bear flip exit,26791.7,20,540173,-4661.8,-0.86,3407.95,0.63,-5733.05,-1.06,449256.9,449.26
113,Entry long,7/17/2018 15:15,Long,27008.65,20,540173,-4661.8,-0.86,3407.95,0.63,-5733.05,-1.06,449256.9,449.26
114,Exit long,8/2/2018 9:15,Bear flip exit,27487.9,20,544416,5013.75,0.92,12894.68,2.37,-478.32,-0.09,454270.66,454.27
114,Entry long,7/26/2018 10:15,Long,27220.8,20,544416,5013.75,0.92,12894.68,2.37,-478.32,-0.09,454270.66,454.27
115,Exit long,8/13/2018 10:15,Bear flip exit,27784.5,20,553793,1564.16,0.28,13598.86,2.45,-346.14,-0.06,455834.8,455.83
115,Entry long,8/3/2018 15:15,Long,27689.65,20,553793,1564.16,0.28,13598.86,2.45,-346.14,-0.06,455834.8,455.83
116,Exit long,8/23/2018 13:15,Bear flip exit,28023.4,19,537507.15,-5383.54,-1,515.15,0.1,-5451.8,-1.01,450451.28,450.45
116,Entry long,8/20/2018 10:15,Long,28289.85,19,537507.15,-5383.54,-1,515.15,0.1,-5451.8,-1.01,450451.28,450.45
117,Exit long,8/30/2018 13:15,Bear flip exit,27991.95,19,535588.15,-4061.33,-0.76,3635.52,0.68,-4030.98,-0.75,446389.94,446.39
117,Entry long,8/27/2018 10:15,Long,28188.85,19,535588.15,-4061.33,-0.76,3635.52,0.68,-4030.98,-0.75,446389.94,446.39
118,Exit long,10/11/2018 10:15,Bear flip exit,24640,21,530952.45,-13826.97,-2.6,1682.41,0.32,-16744.03,-3.15,432562.97,432.56
118,Entry long,10/10/2018 14:15,Long,25283.45,21,530952.45,-13826.97,-2.6,1682.41,0.32,-16744.03,-3.15,432562.97,432.56
119,Exit long,10/19/2018 11:15,Bear flip exit,25019.6,20,512597,-12508.9,-2.44,5556.22,1.08,-14297.78,-2.79,420054.06,420.05
119,Entry long,10/16/2018 10:15,Long,25629.85,20,512597,-12508.9,-2.44,5556.22,1.08,-14297.78,-2.79,420054.06,420.05
120,Exit long,12/5/2018 15:15,Bear flip exit,26519.05,20,517496,12570.64,2.43,23090.75,4.46,-3091.25,-0.6,432624.72,432.62
120,Entry long,11/14/2018 10:15,Long,25874.8,20,517496,12570.64,2.43,23090.75,4.46,-3091.25,-0.6,432624.72,432.62
121,Exit long,1/14/2019 10:15,Bear flip exit,27224.15,19,521512,-4564.78,-0.88,5666.1,1.09,-5591.4,-1.07,428059.94,428.06
121,Entry long,1/7/2019 10:15,Long,27448,19,521512,-4564.78,-0.88,5666.1,1.09,-5591.4,-1.07,428059.94,428.06
122,Exit long,1/23/2019 15:15,Bear flip exit,27228.6,19,523398.7,-6367.52,-1.22,1266.08,0.24,-6465.97,-1.24,421692.4,421.69
122,Entry long,1/16/2019 10:15,Long,27547.3,19,523398.7,-6367.52,-1.22,1266.08,0.24,-6465.97,-1.24,421692.4,421.69
123,Exit long,3/25/2019 10:15,Bear flip exit,29284.95,19,518446.35,37645.24,7.26,51552.02,9.94,-352.18,-0.07,459337.66,459.34
123,Entry long,3/5/2019 13:15,Long,27286.65,19,518446.35,37645.24,7.26,51552.02,9.94,-352.18,-0.07,459337.66,459.34
124,Exit long,4/4/2019 12:15,Bear flip exit,30022.6,18,538295.4,1787.79,0.33,13208.91,2.45,-2232.39,-0.41,461125.44,461.13
124,Entry long,3/26/2019 15:15,Long,29905.3,18,538295.4,1787.79,0.33,13208.91,2.45,-2232.39,-0.41,461125.44,461.13
125,Exit long,9/17/2019 13:15,Bear flip exit,27495.35,20,549098,479.3,0.09,13274.27,2.42,-1070.73,-0.19,461604.75,461.6
125,Entry long,9/9/2019 11:15,Long,27454.9,20,549098,479.3,0.09,13274.27,2.42,-1070.73,-0.19,461604.75,461.6
126,Exit long,9/30/2019 13:15,Bear flip exit,29155.35,20,559255,23509.29,4.2,56603.22,10.12,-231.78,-0.04,485114.03,485.11
126,Entry long,9/20/2019 11:15,Long,27962.75,20,559255,23509.29,4.2,56603.22,10.12,-231.78,-0.04,485114.03,485.11
127,Exit long,12/3/2019 10:15,Bear flip exit,31724.85,18,561911.4,8796.01,1.56,16746.93,2.98,-3184.47,-0.57,493910.03,493.91
127,Entry long,11/19/2019 12:15,Long,31217.3,18,561911.4,8796.01,1.56,16746.93,2.98,-3184.47,-0.57,493910.03,493.91
128,Exit long,12/6/2019 14:15,Bear flip exit,31282.95,18,577390.5,-14639.54,-2.53,536.88,0.09,-14670.42,-2.54,479270.5,479.27
128,Entry long,12/5/2019 11:15,Long,32077.25,18,577390.5,-14639.54,-2.53,536.88,0.09,-14670.42,-2.54,479270.5,479.27
129,Exit long,1/1/2020 13:15,Bear flip exit,32097,17,550842.5,-5522.45,-1,3414.95,0.62,-6035.35,-1.1,473748.06,473.75
129,Entry long,12/27/2019 15:15,Long,32402.5,17,550842.5,-5522.45,-1,3414.95,0.62,-6035.35,-1.1,473748.06,473.75
130,Exit long,2/14/2020 11:15,Bear flip exit,30857.65,18,555285.6,-181.12,-0.03,14237.91,2.56,-3595.59,-0.65,473566.94,473.57
130,Entry long,2/5/2020 10:15,Long,30849.2,18,555285.6,-181.12,-0.03,14237.91,2.56,-3595.59,-0.65,473566.94,473.57
131,Exit long,2/24/2020 15:15,Bear flip exit,30460.55,18,554905.8,-6946.86,-1.25,4463.13,0.8,-7181.97,-1.29,466620.06,466.62
131,Entry long,2/19/2020 13:15,Long,30828.1,18,554905.8,-6946.86,-1.25,4463.13,0.8,-7181.97,-1.29,466620.06,466.62
132,Exit long,5/4/2020 10:15,Bear flip exit,19956.7,28,565796,-7345.77,-1.3,49110.26,8.68,-19534.54,-3.45,459274.3,459.27
132,Entry long,4/23/2020 14:15,Long,20207,28,565796,-7345.77,-1.3,49110.26,8.68,-19534.54,-3.45,459274.3,459.27
133,Exit long,6/11/2020 15:15,Bear flip exit,20495.25,25,540607.5,-28542.15,-5.28,2751.57,0.51,-29279.68,-5.41,430732.16,430.73
133,Entry long,6/8/2020 10:15,Long,21624.3,25,540607.5,-28542.15,-5.28,2751.57,0.51,-29279.68,-5.41,430732.16,430.73
134,Exit long,6/24/2020 15:15,Bear flip exit,21412.1,25,523410,11574.89,2.21,38421.73,7.34,-1610.77,-0.31,442307.03,442.31
134,Entry long,6/18/2020 15:15,Long,20936.4,25,523410,11574.89,2.21,38421.73,7.34,-1610.77,-0.31,442307.03,442.31
135,Exit long,7/13/2020 11:15,Bear flip exit,22241.7,24,528111.6,5370.63,1.02,25664.37,4.86,-5838.03,-1.11,447677.66,447.68
135,Entry long,7/1/2020 15:15,Long,22004.65,24,528111.6,5370.63,1.02,25664.37,4.86,-5838.03,-1.11,447677.66,447.68
136,Exit long,7/24/2020 11:15,Bear flip exit,22497.15,24,538959.6,648.33,0.12,17951.11,3.33,-5960.09,-1.11,448326,448.33
136,Entry long,7/20/2020 10:15,Long,22456.65,24,538959.6,648.33,0.12,17951.11,3.33,-5960.09,-1.11,448326,448.33
137,Exit long,8/14/2020 14:15,Bear flip exit,21692.65,25,546572.5,-4582.92,-0.84,14262.28,2.61,-12478.97,-2.28,443743.1,443.74
137,Entry long,8/5/2020 10:15,Long,21862.9,25,546572.5,-4582.92,-0.84,14262.28,2.61,-12478.97,-2.28,443743.1,443.74
138,Exit long,8/31/2020 14:15,Bear flip exit,23671.75,24,536764.8,31025.73,5.78,68656.57,12.79,-11645.03,-2.17,474768.8,474.77
138,Entry long,8/19/2020 10:15,Long,22365.2,24,536764.8,31025.73,5.78,68656.57,12.79,-11645.03,-2.17,474768.8,474.77
139,Exit long,10/15/2020 15:15,Bear flip exit,23002.5,24,572582.4,-20859.79,-3.64,5354.23,0.93,-20745.78,-3.62,453909.03,453.91
139,Entry long,10/14/2020 15:15,Long,23857.6,24,572582.4,-20859.79,-3.64,5354.23,0.93,-20745.78,-3.62,453909.03,453.91
140,Exit long,10/21/2020 14:15,Bear flip exit,24156.7,22,530655.4,473.37,0.09,15304.6,2.88,-3647.3,-0.69,454382.4,454.38
140,Entry long,10/19/2020 10:15,Long,24120.7,22,530655.4,473.37,0.09,15304.6,2.88,-3647.3,-0.69,454382.4,454.38
141,Exit long,11/19/2020 15:15,Bear flip exit,28912.6,22,544788.2,90934.74,16.69,110312.87,20.24,-163.44,-0.03,545317.1,545.32
141,Entry long,11/2/2020 14:15,Long,24763.1,22,544788.2,90934.74,16.69,110312.87,20.24,-163.44,-0.03,545317.1,545.32
142,Exit long,1/18/2021 12:15,Bear flip exit,31931.7,21,638473.5,31699.49,4.96,48432.91,7.58,-3157.79,-0.49,577016.6,577.02
142,Entry long,12/24/2020 10:15,Long,30403.5,21,638473.5,31699.49,4.96,48432.91,7.58,-3157.79,-0.49,577016.6,577.02
143,Exit long,1/21/2021 15:15,Bear flip exit,32150.55,20,655820,-13198.65,-2.01,138.25,0.02,-16305.75,-2.49,563818,563.82
143,Entry long,1/21/2021 13:15,Long,32791,20,655820,-13198.65,-2.01,138.25,0.02,-16305.75,-2.49,563818,563.82
144,Exit long,2/19/2021 13:15,Bear flip exit,36271.55,21,653852.85,107425.03,16.42,137834.75,21.07,-2038.91,-0.31,671243,671.24
144,Entry long,2/1/2021 10:15,Long,31135.85,21,653852.85,107425.03,16.42,137834.75,21.07,-2038.91,-0.31,671243,671.24
145,Exit long,3/5/2021 11:15,Bear flip exit,35277,21,764031.45,-23665.9,-3.1,608.69,0.08,-26420.41,-3.46,647577.1,647.58
145,Entry long,3/3/2021 15:15,Long,36382.45,21,764031.45,-23665.9,-3.1,608.69,0.08,-26420.41,-3.46,647577.1,647.58
146,Exit long,6/8/2021 12:15,Bear flip exit,35017.95,22,723481,46465.74,6.42,64141.75,8.86,-1240.04,-0.17,694042.8,694.04
146,Entry long,5/17/2021 10:15,Long,32885.5,22,723481,46465.74,6.42,64141.75,8.86,-1240.04,-0.17,694042.8,694.04
147,Exit long,7/8/2021 14:15,Bear flip exit,35285.65,22,780370.8,-4553.5,-0.58,7237.09,0.93,-5471.21,-0.7,689489.3,689.49
147,Entry long,7/6/2021 10:15,Long,35471.4,22,780370.8,-4553.5,-0.58,7237.09,0.93,-5471.21,-0.7,689489.3,689.49
148,Exit long,7/19/2021 10:15,Bear flip exit,35286.9,22,787571.4,-11728.76,-1.49,3867.83,0.49,-17581.07,-2.23,677760.56,677.76
148,Entry long,7/14/2021 13:15,Long,35798.7,22,787571.4,-11728.76,-1.49,3867.83,0.49,-17581.07,-2.23,677760.56,677.76
149,Exit long,7/28/2021 11:15,Bear flip exit,34315.5,22,771247.4,-16764.26,-2.17,2615.43,0.34,-20944.37,-2.71,660996.3,661
149,Entry long,7/23/2021 15:15,Long,35056.7,22,771247.4,-16764.26,-2.17,2615.43,0.34,-20944.37,-2.71,660996.3,661
150,Exit long,8/18/2021 15:15,Bear flip exit,35607.55,21,739281.9,8030.54,1.09,23153.32,3.13,-686.93,-0.09,669026.9,669.03
150,Entry long,8/3/2021 15:15,Long,35203.9,21,739281.9,8030.54,1.09,23153.32,3.13,-686.93,-0.09,669026.9,669.03
151,Exit long,9/7/2021 10:15,Bear flip exit,36226.15,21,749810.25,10485.73,1.4,29904.81,3.99,-7490.94,-1,679512.56,679.51
151,Entry long,8/24/2021 15:15,Long,35705.25,21,749810.25,10485.73,1.4,29904.81,3.99,-7490.94,-1,679512.56,679.51
152,Exit long,9/21/2021 9:15,Bear flip exit,37262.15,20,742331,2465.73,0.33,19701.3,2.65,-1184.7,-0.16,681978.3,681.98
152,Entry long,9/16/2021 10:15,Long,37116.55,20,742331,2465.73,0.33,19701.3,2.65,-1184.7,-0.16,681978.3,681.98
153,Exit long,9/28/2021 14:15,Bear flip exit,37460.8,20,755279,-6514.35,-0.86,12039.42,1.59,-6606.58,-0.87,675464,675.46
153,Entry long,9/23/2021 14:15,Long,37763.95,20,755279,-6514.35,-0.86,12039.42,1.59,-6606.58,-0.87,675464,675.46
154,Exit long,10/28/2021 11:15,Bear flip exit,40241.1,20,759420,44932.73,5.91,76944.17,10.13,-10607.83,-1.4,720396.7,720.4
154,Entry long,10/6/2021 10:15,Long,37971,20,759420,44932.73,5.91,76944.17,10.13,-10607.83,-1.4,720396.7,720.4
155,Exit long,12/14/2021 10:15,Bear flip exit,36660.15,22,804117.6,1922.51,0.24,22424.27,2.79,-1262.04,-0.16,722319.2,722.32
155,Entry long,12/7/2021 11:15,Long,36550.8,22,804117.6,1922.51,0.24,22424.27,2.79,-1262.04,-0.16,722319.2,722.32
156,Exit long,1/19/2022 11:15,Bear flip exit,38080.5,21,815020.5,-15814.41,-1.94,0,0,-19528.81,-2.4,706504.8,706.5
156,Entry long,1/18/2022 14:15,Long,38810.5,21,815020.5,-15814.41,-1.94,0,0,-19528.81,-2.4,706504.8,706.5
157,Exit long,2/7/2022 12:15,Bear flip exit,38285.65,21,801709.65,1807.29,0.23,25971.69,3.24,-12738.66,-1.59,708312.06,708.31
157,Entry long,1/28/2022 10:15,Long,38176.65,21,801709.65,1807.29,0.23,25971.69,3.24,-12738.66,-1.59,708312.06,708.31
158,Exit long,2/14/2022 10:15,Bear flip exit,37413.35,20,781679,-33870.98,-4.33,2030.5,0.26,-37635.5,-4.81,674441.1,674.44
158,Entry long,2/10/2022 11:15,Long,39083.95,20,781679,-33870.98,-4.33,2030.5,0.26,-37635.5,-4.81,674441.1,674.44
159,Exit long,4/12/2022 10:15,Bear flip exit,37343.3,21,760749.15,22996.66,3.02,53105.48,6.98,-1791.67,-0.24,697437.75,697.44
159,Entry long,3/30/2022 10:15,Long,36226.15,21,760749.15,22996.66,3.02,53105.48,6.98,-1791.67,-0.24,697437.75,697.44
160,Exit long,7/13/2022 13:15,Bear flip exit,34887.55,23,781261.7,20676.85,2.65,35995.22,4.61,-5085.08,-0.65,718114.6,718.11
160,Entry long,7/4/2022 15:15,Long,33967.9,23,781261.7,20676.85,2.65,35995.22,4.61,-5085.08,-0.65,718114.6,718.11
161,Exit long,8/19/2022 12:15,Bear flip exit,39085,23,809514.9,88927.56,10.98,104702.7,12.93,-2216.25,-0.27,807042.2,807.04
161,Entry long,7/18/2022 14:15,Long,35196.3,23,809514.9,88927.56,10.98,104702.7,12.93,-2216.25,-0.27,807042.2,807.04
162,Exit long,8/29/2022 10:15,Bear flip exit,38345.95,23,898554.8,-17132.1,-1.91,9025.88,1,-26115.82,-2.91,789910.06,789.91
162,Entry long,8/24/2022 15:15,Long,39067.6,23,898554.8,-17132.1,-1.91,9025.88,1,-26115.82,-2.91,789910.06,789.91
163,Exit long,9/22/2022 11:15,Bear flip exit,40757.05,22,861378.1,34749.59,4.03,58846.79,6.83,-7963.91,-0.92,824659.6,824.66
163,Entry long,8/30/2022 13:15,Long,39153.55,22,861378.1,34749.59,4.03,58846.79,6.83,-7963.91,-0.92,824659.6,824.66
164,Exit long,12/15/2022 15:15,Bear flip exit,43478.1,23,908334.4,91089.4,10.03,106884.5,11.76,-8232.8,-0.91,915749.06,915.75
164,Entry long,10/14/2022 12:15,Long,39492.8,23,908334.4,91089.4,10.03,106884.5,11.76,-8232.8,-0.91,915749.06,915.75
165,Exit long,2/17/2023 12:15,Bear flip exit,41218.4,24,989672.4,-1024.47,-0.1,18406.3,1.86,-42197.3,-4.26,914724.56,914.72
165,Entry long,2/1/2023 11:15,Long,41236.35,24,989672.4,-1024.47,-0.1,18406.3,1.86,-42197.3,-4.26,914724.56,914.72
166,Exit long,3/10/2023 10:15,Bear flip exit,40540.7,24,975672,-3279.79,-0.34,24144.1,2.47,-8455.1,-0.87,911444.8,911.44
166,Entry long,3/1/2023 11:15,Long,40653,24,975672,-3279.79,-0.34,24144.1,2.47,-8455.1,-0.87,911444.8,911.44
167,Exit long,5/17/2023 13:15,Bear flip exit,43487.7,23,1007712.8,-8098.08,-0.8,7473.99,0.74,-7858.96,-0.78,903346.7,903.35
167,Entry long,5/12/2023 14:15,Long,43813.6,23,1007712.8,-8098.08,-0.8,7473.99,0.74,-7858.96,-0.78,903346.7,903.35
168,Exit long,5/31/2023 12:15,Bear flip exit,43960.45,22,968965.8,-2416.73,-0.25,9712.71,1,-3752.39,-0.39,900930,900.93
168,Entry long,5/26/2023 14:15,Long,44043.9,22,968965.8,-2416.73,-0.25,9712.71,1,-3752.39,-0.39,900930,900.93
169,Exit long,6/8/2023 15:15,Bear flip exit,43962.85,22,976983.7,-10384.25,-1.06,826.7,0.08,-10094.09,-1.03,890545.75,890.55
169,Entry long,6/8/2023 10:15,Long,44408.35,22,976983.7,-10384.25,-1.06,826.7,0.08,-10094.09,-1.03,890545.75,890.55
170,Exit long,7/28/2023 10:15,Bear flip exit,45424.95,21,955845.45,-2494.43,-0.26,17627.3,1.84,-5224.9,-0.55,888051.3,888.05
170,Entry long,7/17/2023 15:15,Long,45516.45,21,955845.45,-2494.43,-0.26,17627.3,1.84,-5224.9,-0.55,888051.3,888.05
171,Exit long,9/20/2023 10:15,Bear flip exit,45567.85,22,982314.3,19582.96,1.99,36219.81,3.69,-10049.49,-1.02,907634.25,907.63
171,Entry long,9/5/2023 10:15,Long,44650.65,22,982314.3,19582.96,1.99,36219.81,3.69,-10049.49,-1.02,907634.25,907.63
172,Exit long,12/21/2023 9:15,Bear flip exit,47143.7,22,963974,72587.06,7.53,96575.71,10.02,-762.19,-0.08,980221.3,980.22
172,Entry long,11/28/2023 10:15,Long,43817,22,963974,72587.06,7.53,96575.71,10.02,-762.19,-0.08,980221.3,980.22
173,Exit long,1/2/2024 11:15,Bear flip exit,47859.95,22,1060122.8,-7837.81,-0.74,9561.06,0.9,-8516.34,-0.8,972383.5,972.38
173,Entry long,12/27/2023 12:15,Long,48187.4,22,1060122.8,-7837.81,-0.74,9561.06,0.9,-8516.34,-0.8,972383.5,972.38
174,Exit long,1/8/2024 12:15,Bear flip exit,47754.35,22,1062601.1,-12639.36,-1.19,0,0,-13019.38,-1.22,959744.1,959.74
174,Entry long,1/5/2024 10:15,Long,48300.05,22,1062601.1,-12639.36,-1.19,0,0,-13019.38,-1.22,959744.1,959.74
175,Exit long,3/12/2024 12:15,Bear flip exit,47268,22,1032043.1,7231.32,0.7,27194.79,2.63,-894.81,-0.09,966975.44,966.98
175,Entry long,3/1/2024 12:15,Long,46911.05,22,1032043.1,7231.32,0.7,27194.79,2.63,-894.81,-0.09,966975.44,966.98
176,Exit long,4/15/2024 10:15,Bear flip exit,47982.4,22,1037564,17420.85,1.68,41387.53,3.99,-3929.17,-0.38,984396.3,984.4
176,Entry long,3/28/2024 10:15,Long,47162,22,1037564,17420.85,1.68,41387.53,3.99,-3929.17,-0.38,984396.3,984.4
177,Exit long,5/7/2024 10:15,Bear flip exit,48598.2,22,1057526.8,10995.59,1.04,41600.44,3.93,-7625.66,-0.72,995391.9,995.39
177,Entry long,4/23/2024 10:15,Long,48069.4,22,1057526.8,10995.59,1.04,41600.44,3.93,-7625.66,-0.72,995391.9,995.39
178,Exit long,7/23/2024 13:15,Bear flip exit,51363.45,20,1052948,-26303.06,-2.5,2391.12,0.23,-26410.88,-2.51,969088.8,969.09
178,Entry long,7/12/2024 11:15,Long,52647.4,20,1052948,-26303.06,-2.5,2391.12,0.23,-26410.88,-2.51,969088.8,969.09
179,Exit long,11/8/2024 12:15,Bear flip exit,51550,20,1042250,-11871.97,-1.14,7316.33,0.7,-12661.67,-1.21,957216.9,957.22
179,Entry long,11/5/2024 14:15,Long,52112.5,20,1042250,-11871.97,-1.14,7316.33,0.7,-12661.67,-1.21,957216.9,957.22
180,Exit long,12/17/2024 14:15,Bear flip exit,52794.7,19,1018500.7,-16007.88,-1.57,2232.85,0.22,-16823.2,-1.65,941209,941.21
180,Entry long,12/13/2024 15:15,Long,53605.3,19,1018500.7,-16007.88,-1.57,2232.85,0.22,-16823.2,-1.65,941209,941.21
181,Exit long,1/6/2025 10:15,Bear flip exit,50755.9,20,1032080,-17576.16,-1.7,1042.38,0.1,-21933.62,-2.12,923632.8,923.63
181,Entry long,1/2/2025 15:15,Long,51604,20,1032080,-17576.16,-1.7,1042.38,0.1,-21933.62,-2.12,923632.8,923.63
182,Exit long,4/1/2025 11:15,Bear flip exit,50909.7,20,979943,37651.56,3.84,61042.02,6.23,-2072.98,-0.21,961284.4,961.28
182,Entry long,3/18/2025 10:15,Long,48997.15,20,979943,37651.56,3.84,61042.02,6.23,-2072.98,-0.21,961284.4,961.28
183,Exit long,4/7/2025 10:15,Bear flip exit,49660.65,20,1033733,-41128.08,-3.98,1223.88,0.12,-49198.12,-4.76,920156.3,920.16
183,Entry long,4/4/2025 11:15,Long,51686.65,20,1033733,-41128.08,-3.98,1223.88,0.12,-49198.12,-4.76,920156.3,920.16
184,Exit long,4/25/2025 10:15,Bear flip exit,54669.75,19,972901.65,65220.11,6.7,92681.78,9.52,-6091.62,-0.63,985376.44,985.38
184,Entry long,4/11/2025 12:15,Long,51205.35,19,972901.65,65220.11,6.7,92681.78,9.52,-6091.62,-0.63,985376.44,985.38
185,Exit long,5/6/2025 10:15,Bear flip exit,54595.2,19,1056015.25,-19334.45,-1.83,0,0,-19023.25,-1.8,966041.94,966.04
185,Entry long,5/2/2025 10:15,Long,55579.75,19,1056015.25,-19334.45,-1.83,0,0,-19023.25,-1.8,966041.94,966.04
186,Exit long,5/20/2025 14:15,Bear flip exit,54962.9,19,1047818.65,-4151.18,-0.4,10082.45,0.96,-13729.3,-1.31,961890.75,961.89
